"","Condition","Agegroup","ET_first","Participant","Gender","Ageindays","Counterbalanced_order","Item_order","DV","In_for_et","Propcorrect","Vocabularycategory","Expressive_vocab_direct_raw","CDIIII_vocab","CDIIII_sentences","CDIIII_usingsentences","Item"
"1","active","2_years","second","3","female",852,"2","1",1,0,0.67,"Not_completed",NA,NA,NA,NA,5
"2","active","2_years","second","3","female",852,"2","2",0,0,0.67,"Not_completed",NA,NA,NA,NA,6
"3","active","2_years","second","3","female",852,"2","3",0,0,0.67,"Not_completed",NA,NA,NA,NA,1
"4","active","2_years","second","3","female",852,"2","4",1,0,0.67,"Not_completed",NA,NA,NA,NA,2
"5","active","2_years","second","3","female",852,"2","5",1,0,0.67,"Not_completed",NA,NA,NA,NA,3
"6","active","2_years","second","3","female",852,"2","6",1,0,0.67,"Not_completed",NA,NA,NA,NA,4
"7","active","2_years","second","4","female",839,"3","1",1,0,0.5,"Not_completed",NA,NA,NA,NA,2
"8","active","2_years","second","4","female",839,"3","2",0,0,0.5,"Not_completed",NA,NA,NA,NA,3
"9","active","2_years","second","4","female",839,"3","3",0,0,0.5,"Not_completed",NA,NA,NA,NA,4
"10","active","2_years","second","4","female",839,"3","4",0,0,0.5,"Not_completed",NA,NA,NA,NA,5
"11","active","2_years","second","4","female",839,"3","5",1,0,0.5,"Not_completed",NA,NA,NA,NA,6
"12","active","2_years","second","4","female",839,"3","6",1,0,0.5,"Not_completed",NA,NA,NA,NA,1
"13","active","2_years","second","7","male",743,"2","1",1,0,0.6,"Not_completed",NA,NA,NA,NA,5
"14","active","2_years","second","7","male",743,"2","2",1,0,0.6,"Not_completed",NA,NA,NA,NA,6
"15","active","2_years","second","7","male",743,"2","3",1,0,0.6,"Not_completed",NA,NA,NA,NA,1
"16","active","2_years","second","7","male",743,"2","4",0,0,0.6,"Not_completed",NA,NA,NA,NA,2
"17","active","2_years","second","7","male",743,"2","5",NA,0,0.6,"Not_completed",NA,NA,NA,NA,3
"18","active","2_years","second","7","male",743,"2","6",0,0,0.6,"Not_completed",NA,NA,NA,NA,4
