Participant,Item,time,T,D,NP,ND,Away,SentenceType,HeadNoun,,,,,,
1,S1,0,0,1,0,0,0,subject,CL,,,,,,
1,S1,0.033,0,1,0,0,0,subject,CL,,,,,,
1,S1,0.066,0,1,0,0,0,subject,CL,,,,,,
1,S1,0.099,0,1,0,0,0,subject,CL,,,,,,
1,S1,0.132,0,1,0,0,0,subject,CL,,,,,,
1,S1,0.165,0,1,0,0,0,subject,CL,,,,,,
1,S1,0.198,0,1,0,0,0,subject,CL,,,,,,
1,S1,0.231,0,0,0,0,1,subject,CL,,,,,,
1,S1,0.264,1,0,0,0,0,subject,CL,,,,,,
1,S1,0.297,1,0,0,0,0,subject,CL,,,,,,
1,S1,0.33,1,0,0,0,0,subject,CL,,,,,,
1,S1,0.363,1,0,0,0,0,subject,CL,,,,,,
1,S1,0.396,1,0,0,0,0,subject,CL,,,,,,
1,S1,0.429,1,0,0,0,0,subject,CL,,,,,,
1,S1,0.462,1,0,0,0,0,subject,CL,,,,,,
1,S1,0.495,1,0,0,0,0,subject,CL,,,,,,
1,S1,0.528,1,0,0,0,0,subject,CL,,,,,,
1,S1,0.561,1,0,0,0,0,subject,CL,,,,,,
1,S1,0.594,1,0,0,0,0,subject,CL,,,,,,
1,S1,0.627,1,0,0,0,0,subject,CL,,,,,,
1,S1,0.66,1,0,0,0,0,subject,CL,,,,,,
1,S1,0.693,1,0,0,0,0,subject,CL,,,,,,
1,S1,0.726,0,0,0,1,0,subject,CL,,,,,,
1,S1,0.759,0,0,0,1,0,subject,CL,,,,,,
1,S1,0.792,0,0,0,1,0,subject,CL,,,,,,
1,S1,0.825,0,0,0,1,0,subject,CL,,,,,,
1,S1,0.858,0,0,0,1,0,subject,CL,,,,,,
1,S1,0.891,0,0,0,1,0,subject,CL,,,,,,
1,S1,0.924,0,0,0,1,0,subject,CL,,,,,,
1,S1,0.957,0,0,0,0,1,subject,CL,,,,,,
1,S1,0.99,0,0,0,0,1,subject,CL,,,,,,
1,S1,1.023,0,0,0,0,1,subject,CL,,,,,,
1,S1,1.056,0,0,1,0,0,subject,CL,,,,,,
1,S1,1.089,0,0,1,0,0,subject,CL,,,,,,
1,S1,1.122,0,0,1,0,0,subject,CL,,,,,,
1,S1,1.155,0,0,1,0,0,subject,CL,,,,,,
1,S1,1.188,0,0,1,0,0,subject,CL,,,,,,
1,S1,1.221,0,0,1,0,0,subject,CL,,,,,,
1,S1,1.254,0,0,1,0,0,subject,CL,,,,,,
1,S1,1.287,0,0,1,0,0,subject,CL,,,,,,
1,S1,1.32,0,0,1,0,0,subject,CL,,,,,,
1,S1,1.353,0,0,1,0,0,subject,CL,,,,,,
1,S1,1.386,0,0,1,0,0,subject,CL,,,,,,
1,S1,1.419,0,0,1,0,0,subject,CL,,,,,,
1,S1,1.452,0,0,1,0,0,subject,CL,,,,,,
1,S1,1.485,0,0,0,0,1,subject,CL,,,,,,
1,S1,1.518,1,0,0,0,0,subject,CL,,,,,,
1,S1,1.551,1,0,0,0,0,subject,CL,,,,,,
1,S1,1.584,1,0,0,0,0,subject,CL,,,,,,
1,S1,1.617,1,0,0,0,0,subject,CL,,,,,,
1,S1,1.65,1,0,0,0,0,subject,CL,,,,,,
1,S1,1.683,1,0,0,0,0,subject,CL,,,,,,
1,S1,1.716,1,0,0,0,0,subject,CL,,,,,,
1,S1,1.749,1,0,0,0,0,subject,CL,,,,,,
1,S1,1.782,1,0,0,0,0,subject,CL,,,,,,
1,S1,1.815,1,0,0,0,0,subject,CL,,,,,,
1,S1,1.848,1,0,0,0,0,subject,CL,,,,,,
1,S1,1.881,1,0,0,0,0,subject,CL,,,,,,
1,S1,1.914,1,0,0,0,0,subject,CL,,,,,,
1,S1,1.947,1,0,0,0,0,subject,CL,,,,,,
1,S1,1.98,1,0,0,0,0,subject,CL,,,,,,
1,S1,2.013,1,0,0,0,0,subject,CL,,,,,,
1,S1,2.046,1,0,0,0,0,subject,CL,,,,,,
1,S1,2.079,1,0,0,0,0,subject,CL,,,,,,
1,S1,2.112,1,0,0,0,0,subject,CL,,,,,,
1,S1,2.145,1,0,0,0,0,subject,CL,,,,,,
1,S1,2.178,1,0,0,0,0,subject,CL,,,,,,
1,S1,2.211,1,0,0,0,0,subject,CL,,,,,,
1,S1,2.244,1,0,0,0,0,subject,CL,,,,,,
1,S1,2.277,1,0,0,0,0,subject,CL,,,,,,
1,S1,2.31,1,0,0,0,0,subject,CL,,,,,,
1,S1,2.343,1,0,0,0,0,subject,CL,,,,,,
1,S1,2.376,1,0,0,0,0,subject,CL,,,,,,
1,S1,2.409,1,0,0,0,0,subject,CL,,,,,,
1,S4,0,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.033,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.066,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.099,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.132,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.165,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.198,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.231,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.264,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.297,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.33,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.363,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.396,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.429,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.462,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.495,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.528,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.561,0,0,1,0,0,subject,CL,,,,,,
1,S4,0.594,0,0,1,0,0,subject,CL,,,,,,
1,S4,0.627,0,0,1,0,0,subject,CL,,,,,,
1,S4,0.66,0,0,1,0,0,subject,CL,,,,,,
1,S4,0.693,0,0,1,0,0,subject,CL,,,,,,
1,S4,0.726,0,0,1,0,0,subject,CL,,,,,,
1,S4,0.759,0,0,1,0,0,subject,CL,,,,,,
1,S4,0.792,0,0,1,0,0,subject,CL,,,,,,
1,S4,0.825,0,0,1,0,0,subject,CL,,,,,,
1,S4,0.858,0,0,1,0,0,subject,CL,,,,,,
1,S4,0.891,0,0,1,0,0,subject,CL,,,,,,
1,S4,0.924,0,0,1,0,0,subject,CL,,,,,,
1,S4,0.957,1,0,0,0,0,subject,CL,,,,,,
1,S4,0.99,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.023,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.056,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.089,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.122,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.155,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.188,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.221,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.254,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.287,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.32,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.353,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.386,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.419,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.452,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.485,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.518,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.551,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.584,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.617,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.65,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.683,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.716,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.749,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.782,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.815,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.848,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.881,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.914,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.947,1,0,0,0,0,subject,CL,,,,,,
1,S4,1.98,1,0,0,0,0,subject,CL,,,,,,
1,S4,2.013,1,0,0,0,0,subject,CL,,,,,,
1,S4,2.046,1,0,0,0,0,subject,CL,,,,,,
1,S4,2.079,1,0,0,0,0,subject,CL,,,,,,
1,S4,2.112,1,0,0,0,0,subject,CL,,,,,,
1,S4,2.145,1,0,0,0,0,subject,CL,,,,,,
1,S4,2.178,1,0,0,0,0,subject,CL,,,,,,
1,S4,2.211,1,0,0,0,0,subject,CL,,,,,,
1,S4,2.244,1,0,0,0,0,subject,CL,,,,,,
1,S4,2.277,1,0,0,0,0,subject,CL,,,,,,
1,S4,2.31,1,0,0,0,0,subject,CL,,,,,,
1,S4,2.343,1,0,0,0,0,subject,CL,,,,,,
1,S4,2.376,1,0,0,0,0,subject,CL,,,,,,
1,S4,2.409,1,0,0,0,0,subject,CL,,,,,,
1,O1,0,0,1,0,0,0,object,CL,,,,,,
1,O1,0.033,0,1,0,0,0,object,CL,,,,,,
1,O1,0.066,0,0,0,0,1,object,CL,,,,,,
1,O1,0.099,0,0,0,0,1,object,CL,,,,,,
1,O1,0.132,0,0,0,0,1,object,CL,,,,,,
1,O1,0.165,0,0,0,0,1,object,CL,,,,,,
1,O1,0.198,0,0,0,0,1,object,CL,,,,,,
1,O1,0.231,0,0,0,0,1,object,CL,,,,,,
1,O1,0.264,0,0,0,0,1,object,CL,,,,,,
1,O1,0.297,0,0,1,0,0,object,CL,,,,,,
1,O1,0.33,0,0,1,0,0,object,CL,,,,,,
1,O1,0.363,0,0,1,0,0,object,CL,,,,,,
1,O1,0.396,0,0,1,0,0,object,CL,,,,,,
1,O1,0.429,0,0,1,0,0,object,CL,,,,,,
1,O1,0.462,0,0,1,0,0,object,CL,,,,,,
1,O1,0.495,0,0,1,0,0,object,CL,,,,,,
1,O1,0.528,0,0,1,0,0,object,CL,,,,,,
1,O1,0.561,0,0,1,0,0,object,CL,,,,,,
1,O1,0.594,0,0,1,0,0,object,CL,,,,,,
1,O1,0.627,0,0,1,0,0,object,CL,,,,,,
1,O1,0.66,0,0,1,0,0,object,CL,,,,,,
1,O1,0.693,0,0,1,0,0,object,CL,,,,,,
1,O1,0.726,0,0,1,0,0,object,CL,,,,,,
1,O1,0.759,0,0,1,0,0,object,CL,,,,,,
1,O1,0.792,0,0,1,0,0,object,CL,,,,,,
1,O1,0.825,0,0,1,0,0,object,CL,,,,,,
1,O1,0.858,0,0,1,0,0,object,CL,,,,,,
1,O1,0.891,0,0,1,0,0,object,CL,,,,,,
1,O1,0.924,0,0,1,0,0,object,CL,,,,,,
1,O1,0.957,0,0,1,0,0,object,CL,,,,,,
1,O1,0.99,0,0,1,0,0,object,CL,,,,,,
1,O1,1.023,1,0,0,0,0,object,CL,,,,,,
1,O1,1.056,1,0,0,0,0,object,CL,,,,,,
1,O1,1.089,1,0,0,0,0,object,CL,,,,,,
1,O1,1.122,1,0,0,0,0,object,CL,,,,,,
1,O1,1.155,1,0,0,0,0,object,CL,,,,,,
1,O1,1.188,1,0,0,0,0,object,CL,,,,,,
1,O1,1.221,1,0,0,0,0,object,CL,,,,,,
1,O1,1.254,1,0,0,0,0,object,CL,,,,,,
1,O1,1.287,1,0,0,0,0,object,CL,,,,,,
1,O1,1.32,1,0,0,0,0,object,CL,,,,,,
1,O1,1.353,1,0,0,0,0,object,CL,,,,,,
1,O1,1.386,1,0,0,0,0,object,CL,,,,,,
1,O1,1.419,1,0,0,0,0,object,CL,,,,,,
1,O1,1.452,1,0,0,0,0,object,CL,,,,,,
1,O1,1.485,1,0,0,0,0,object,CL,,,,,,
1,O1,1.518,1,0,0,0,0,object,CL,,,,,,
1,O1,1.551,1,0,0,0,0,object,CL,,,,,,
1,O1,1.584,1,0,0,0,0,object,CL,,,,,,
1,O1,1.617,1,0,0,0,0,object,CL,,,,,,
1,O1,1.65,1,0,0,0,0,object,CL,,,,,,
1,O1,1.683,1,0,0,0,0,object,CL,,,,,,
1,O1,1.716,1,0,0,0,0,object,CL,,,,,,
1,O1,1.749,1,0,0,0,0,object,CL,,,,,,
1,O1,1.782,1,0,0,0,0,object,CL,,,,,,
1,O1,1.815,1,0,0,0,0,object,CL,,,,,,
1,O1,1.848,1,0,0,0,0,object,CL,,,,,,
