Participant,Item,time,T,D,NP,ND,Away,SentenceType,HeadNoun
1,S2,0,0,0,1,0,0,-0.5,-0.5
1,S2,0.04,0,0,1,0,0,-0.5,-0.5
1,S2,0.08,0,0,1,0,0,-0.5,-0.5
1,S2,0.12,0,0,0,0,1,-0.5,-0.5
1,S2,0.16,0,0,0,0,1,-0.5,-0.5
1,S2,0.2,0,0,0,0,1,-0.5,-0.5
1,S2,0.24,0,0,0,0,1,-0.5,-0.5
1,S2,0.28,0,0,0,0,1,-0.5,-0.5
1,S2,0.32,0,0,0,0,1,-0.5,-0.5
1,S2,0.36,0,0,0,0,1,-0.5,-0.5
1,S2,0.4,0,0,0,0,1,-0.5,-0.5
1,S2,0.44,0,0,0,0,1,-0.5,-0.5
1,S2,0.48,0,0,0,0,1,-0.5,-0.5
1,S2,0.52,0,0,0,0,1,-0.5,-0.5
1,S2,0.56,0,0,0,0,1,-0.5,-0.5
1,S2,0.6,0,0,0,0,1,-0.5,-0.5
1,S2,0.64,0,0,0,0,1,-0.5,-0.5
1,S2,0.68,0,0,0,0,1,-0.5,-0.5
1,S2,0.72,0,0,0,0,1,-0.5,-0.5
1,S2,0.76,0,0,0,0,1,-0.5,-0.5
1,S2,0.8,0,0,1,0,0,-0.5,-0.5
1,S2,0.84,0,0,1,0,0,-0.5,-0.5
1,S2,0.88,0,0,1,0,0,-0.5,-0.5
1,S2,0.92,0,0,1,0,0,-0.5,-0.5
1,S2,0.96,0,0,1,0,0,-0.5,-0.5
1,S2,1,0,0,1,0,0,-0.5,-0.5
1,S2,1.04,0,0,1,0,0,-0.5,-0.5
1,S2,1.08,0,0,1,0,0,-0.5,-0.5
1,S2,1.12,1,0,0,0,0,-0.5,-0.5
1,S2,1.16,1,0,0,0,0,-0.5,-0.5
1,S2,1.2,1,0,0,0,0,-0.5,-0.5
1,S2,1.24,1,0,0,0,0,-0.5,-0.5
1,S2,1.28,1,0,0,0,0,-0.5,-0.5
1,S2,1.32,1,0,0,0,0,-0.5,-0.5
1,S2,1.36,1,0,0,0,0,-0.5,-0.5
1,S2,1.4,1,0,0,0,0,-0.5,-0.5
1,S2,1.44,1,0,0,0,0,-0.5,-0.5
1,S2,1.48,1,0,0,0,0,-0.5,-0.5
1,S2,1.52,1,0,0,0,0,-0.5,-0.5
1,S2,1.56,1,0,0,0,0,-0.5,-0.5
1,S2,1.6,1,0,0,0,0,-0.5,-0.5
1,S2,1.64,1,0,0,0,0,-0.5,-0.5
1,S2,1.68,0,0,1,0,0,-0.5,-0.5
1,S2,1.72,0,0,1,0,0,-0.5,-0.5
1,S2,1.76,0,0,1,0,0,-0.5,-0.5
1,S2,1.8,0,0,1,0,0,-0.5,-0.5
1,S2,1.84,0,0,1,0,0,-0.5,-0.5
1,S2,1.88,0,0,1,0,0,-0.5,-0.5
1,S2,1.92,0,0,1,0,0,-0.5,-0.5
1,S2,1.96,0,0,1,0,0,-0.5,-0.5
1,S2,2,0,0,1,0,0,-0.5,-0.5
1,S2,2.04,0,0,1,0,0,-0.5,-0.5
1,S2,2.08,0,0,1,0,0,-0.5,-0.5
1,S2,2.12,0,0,1,0,0,-0.5,-0.5
1,S2,2.16,0,0,1,0,0,-0.5,-0.5
1,S2,2.2,0,1,0,0,0,-0.5,-0.5
1,S2,2.24,0,1,0,0,0,-0.5,-0.5
1,S2,2.28,0,1,0,0,0,-0.5,-0.5
1,S2,2.32,0,1,0,0,0,-0.5,-0.5
1,S2,2.36,0,1,0,0,0,-0.5,-0.5
1,S2,2.4,0,1,0,0,0,-0.5,-0.5
1,S3,0,0,0,0,1,0,-0.5,-0.5
1,S3,0.04,0,0,0,1,0,-0.5,-0.5
1,S3,0.08,0,0,0,1,0,-0.5,-0.5
1,S3,0.12,0,0,0,1,0,-0.5,-0.5
1,S3,0.16,0,0,0,1,0,-0.5,-0.5
1,S3,0.2,0,0,0,1,0,-0.5,-0.5
1,S3,0.24,0,0,0,1,0,-0.5,-0.5
1,S3,0.28,0,0,0,1,0,-0.5,-0.5
1,S3,0.32,0,0,0,1,0,-0.5,-0.5
1,S3,0.36,0,0,0,0,1,-0.5,-0.5
1,S3,0.4,0,0,0,0,1,-0.5,-0.5
1,S3,0.44,0,0,0,0,1,-0.5,-0.5
1,S3,0.48,0,0,0,0,1,-0.5,-0.5
1,S3,0.52,0,0,0,0,1,-0.5,-0.5
1,S3,0.56,0,0,0,0,1,-0.5,-0.5
1,S3,0.6,0,0,0,0,1,-0.5,-0.5
1,S3,0.64,0,0,0,0,1,-0.5,-0.5
1,S3,0.68,0,0,0,0,1,-0.5,-0.5
1,S3,0.72,0,0,0,0,1,-0.5,-0.5
1,S3,0.76,0,0,0,0,1,-0.5,-0.5
1,S3,0.8,0,0,0,0,1,-0.5,-0.5
1,S3,0.84,0,0,0,0,1,-0.5,-0.5
1,S3,0.88,0,0,0,0,1,-0.5,-0.5
1,S3,0.92,0,0,0,0,1,-0.5,-0.5
1,S3,0.96,0,0,0,0,1,-0.5,-0.5
1,S3,1,0,0,0,0,1,-0.5,-0.5
1,S3,1.04,0,0,0,0,1,-0.5,-0.5
1,S3,1.08,0,0,0,0,1,-0.5,-0.5
1,S3,1.12,0,0,0,0,1,-0.5,-0.5
1,S3,1.16,0,0,0,0,1,-0.5,-0.5
1,S3,1.2,0,0,0,0,1,-0.5,-0.5
1,S3,1.24,0,0,0,0,1,-0.5,-0.5
1,S3,1.28,0,0,0,0,1,-0.5,-0.5
1,S3,1.32,0,0,0,0,1,-0.5,-0.5
1,S3,1.36,0,0,0,0,1,-0.5,-0.5
1,S3,1.4,0,0,0,0,1,-0.5,-0.5
1,S3,1.44,0,0,0,0,1,-0.5,-0.5
1,S3,1.48,0,0,0,0,1,-0.5,-0.5
1,S3,1.52,0,0,0,0,1,-0.5,-0.5
1,S3,1.56,0,0,0,0,1,-0.5,-0.5
1,S3,1.6,0,0,0,0,1,-0.5,-0.5
1,S3,1.64,0,0,0,0,1,-0.5,-0.5
1,S3,1.68,0,0,0,0,1,-0.5,-0.5
1,S3,1.72,0,0,0,0,1,-0.5,-0.5
1,S3,1.76,0,0,0,0,1,-0.5,-0.5
1,S3,1.8,0,0,0,0,1,-0.5,-0.5
