item,participant,extraction,Correct,structure
S1,1,subject,1,CL
S2,1,subject,1,CL
S3,1,subject,0,CL
S4,1,subject,1,CL
O1,1,object,1,CL
O2,1,object,1,CL
O3,1,object,0,CL
O4,1,object,1,CL
S1,2,subject,1,CL
S2,2,subject,1,CL
S3,2,subject,1,CL
S4,2,subject,1,CL
O1,2,object,1,CL
O2,2,object,1,CL
O3,2,object,1,CL
O4,2,object,1,CL
S1,3,subject,0,CL
S2,3,subject,1,CL
S3,3,subject,0,CL
S4,3,subject,1,CL
O1,3,object,0,CL
O2,3,object,0,CL
O3,3,object,1,CL
O4,3,object,0,CL
S1,4,subject,1,CL
S2,4,subject,1,CL
S3,4,subject,0,CL
S4,4,subject,0,CL
O1,4,object,1,CL
O2,4,object,1,CL
O3,4,object,0,CL
O4,4,object,1,CL
S1,5,subject,1,CL
S2,5,subject,1,CL
S3,5,subject,0,CL
S4,5,subject,1,CL
O1,5,object,1,CL
O2,5,object,1,CL
O3,5,object,1,CL
O4,5,object,1,CL
S1,6,subject,1,CL
S2,6,subject,0,CL
S3,6,subject,1,CL
S4,6,subject,0,CL
O1,6,object,1,CL
O2,6,object,0,CL
O3,6,object,1,CL
O4,6,object,1,CL
S1,7,subject,1,CL
S2,7,subject,1,CL
S3,7,subject,1,CL
S4,7,subject,1,CL
O1,7,object,1,CL
O2,7,object,1,CL
O3,7,object,1,CL
O4,7,object,1,CL
S1,8,subject,0,CL
S2,8,subject,1,CL
S3,8,subject,1,CL
S4,8,subject,1,CL
O1,8,object,1,CL
O2,8,object,1,CL
O3,8,object,0,CL
O4,8,object,1,CL
S1,9,subject,1,CL
S2,9,subject,0,CL
S3,9,subject,1,CL
S4,9,subject,0,CL
O1,9,object,1,CL
O2,9,object,1,CL
O3,9,object,1,CL
O4,9,object,1,CL
S1,10,subject,1,CL
S2,10,subject,1,CL
S3,10,subject,0,CL
S4,10,subject,1,CL
O1,10,object,1,CL
O2,10,object,1,CL
O3,10,object,1,CL
O4,10,object,0,CL
S1,11,subject,0,CL
S2,11,subject,0,CL
S3,11,subject,1,CL
S4,11,subject,1,CL
O1,11,object,1,CL
O2,11,object,1,CL
O3,11,object,0,CL
O4,11,object,1,CL
S1,12,subject,1,CL
S2,12,subject,1,CL
S3,12,subject,1,CL
S4,12,subject,1,CL
O1,12,object,0,CL
O2,12,object,0,CL
O3,12,object,0,CL
O4,12,object,0,CL
S1,13,subject,1,CL
S2,13,subject,1,CL
S3,13,subject,1,CL
S4,13,subject,1,CL
O1,13,object,1,CL
O2,13,object,1,CL
O3,13,object,1,CL
O4,13,object,1,CL
S1,14,subject,0,CL
S2,14,subject,1,CL
S3,14,subject,1,CL
S4,14,subject,1,CL
O1,14,object,1,CL
O2,14,object,1,CL
O3,14,object,1,CL
O4,14,object,1,CL
S1,15,subject,1,CL
S2,15,subject,1,CL
S3,15,subject,0,CL
S4,15,subject,1,CL
O1,15,object,0,CL
O2,15,object,0,CL
O3,15,object,1,CL
O4,15,object,1,CL
S1,16,subject,1,CL
S2,16,subject,0,CL
S3,16,subject,1,CL
